id;names;date_x;score;genre;status;orig_lang;country
101;Perfect Addiction;02/16/2023 ;67.0;Drama, Romance, Action; Released; English;DE
102;Project Gemini;01/06/2022;58.0;Science Fiction, Horror; Released; English;RU
103;Doctor Strange in the Multiverse of Madness;05/05/2022;74.0;Fantasy, Action, Adventure; Released; English;AU
104;There Are No Saints;07/01/2022;53.0;Action, Mystery, Thriller; Released; English;AU
105;Avengers: Infinity War;04/25/2018 ;83.0;Adventure, Action, Science Fiction; Released; English;AU
106;Smile;09/23/2022 ;68.0;Horror, Mystery, Thriller; Released; English;AU
107;¡Que Viva México!;03/23/2023 ;47.0;Comedy; Released; Spanish, Castilian;MX
108;Detective Knight: Independence;01/20/2023 ;56.0;Action, Crime, Thriller; Released; English;US
109;Strange World;11/24/2022 ;65.0;Animation, Family, Adventure, Science Fiction; Released; English;AU
110;The Ten Commandments;12/12/1958;78.0;Drama, History; Released; English;AU
111;The Ten Commandments;12/12/1958;78.0;Drama, History; Released; English;AU
112;Demon Slayer: Kimetsu no Yaiba Sibling's Bond;03/29/2019 ;80.0;Action, Animation, Fantasy; Released; Japanese;JP
113;Four's a Crowd;10/28/2022 ;63.0;Comedy; Released; Spanish, Castilian;ES
114;Minions: The Rise of Gru;07/04/2022;75.0;Animation, Comedy, Family; Released; English;AU
115;Creed II;12/06/2018;70.0;Drama; Released; English;AU
116;Creed;11/26/2015 ;74.0;Drama; Released; English;AU
117;Beast;08/25/2022 ;68.0;Thriller, Action, Horror, Adventure; Released; English;AU
118;Fast X;05/19/2023 ;0.0;Action, Crime, Thriller; Post Production; English;US
119;My Name Is Vendetta;11/30/2022 ;68.0;Action, Crime, Thriller; Released; Italian;AU
120;Wrath of Man;04/29/2021 ;77.0;Action, Crime, Thriller; Released; English;AU
121;Jeepers Creepers: Reborn;09/22/2022 ;57.0;Horror, Thriller, Mystery; Released; English;AU
122;Turning Red;03/11/2022;75.0;Animation, Family, Comedy, Fantasy; Released; English;AU
123;Encanto;11/28/2021 ;76.0;Animation, Comedy, Family, Fantasy; Released; English;AU
124;Prancer: A Christmas Tale;11/22/2022 ;59.0;Family, Fantasy; Released; English;US
125;Magic Mike's Last Dance;02/09/2023;72.0;Comedy, Drama, Romance; Released; English;AU
126;The Penitent Thief;02/25/2021 ;62.0;Drama; Released; English;AU
127;Hacksaw Ridge;10/07/2016;82.0;Drama, History, War; Released; English;AU
128;Venus;12/02/2022;55.0;Drama, Horror, Thriller; Released; Spanish, Castilian;ES
129;The Offering;09/23/2022 ;57.0;Horror; Released; English;US
130;The Batman;03/02/2022;77.0;Crime, Mystery, Thriller; Released; English;AU
131;Life in a Year;11/27/2020 ;83.0;Drama, Romance; Released; English;US
132;The Exorcism of God;07/01/2022;72.0;Horror; Released; English;AU
133;Ghosts of the Ozarks;02/04/2022;63.0;Western, Horror, Mystery; Released; English;US
134;Kompromat;12/01/2022;65.0;Thriller, Drama; Released; French;AU
135;Matadero;12/09/2022;60.0;Drama; Released; Spanish, Castilian;ES
136;Air;04/05/2023;79.0;Drama; Released; English;AU
137;Disenchanted;11/18/2022 ;70.0;Comedy, Family, Fantasy; Released; English;AU
138;Luck;08/05/2022;79.0;Animation, Adventure, Comedy, Fantasy; Released; English;AU
139;Bullet Train;08/04/2022;75.0;Action, Comedy, Thriller; Released; English;AU
140;Night at the Museum: Kahmunrah Rises Again;12/09/2022;69.0;Animation, Comedy, Family, Fantasy; Released; English;US
141;Blade of the 47 Ronin;10/25/2022 ;67.0;Action, Drama, Fantasy, Thriller; Released; English;AU
142;Sing 2;12/26/2021 ;80.0;Animation, Family; Released; English;AU
143;Shark Bait;06/06/2022;59.0;Horror, Thriller, Action, Adventure; Released; English;GB
144;Shrek;06/21/2001 ;77.0;Animation, Comedy, Fantasy, Adventure, Family; Released; English;AU
145;Orgasm Inc: The Story of OneTaste;11/05/2022;64.0;Documentary; Released; English;US
146;In His Shadow;03/17/2023 ;62.0;Drama, Thriller, Crime; Released; French;FR
147;Savage Salvation;12/02/2022;66.0;Thriller; Released; English;US
148;Sisu;01/27/2023 ;74.0;War, Action; Released; Finnish;FI
149;Hotel Transylvania: Transformania;01/14/2022 ;71.0;Animation, Comedy, Family, Fantasy, Adventure; Released; English;AU
150;Operation Fortune: Ruse de Guerre;01/12/2023;67.0;Action, Thriller, Comedy; Released; English;AU
151;Kids vs. Aliens;01/20/2023 ;60.0;Science Fiction, Horror, Adventure, Action; Released; English;US
152;Everything Everywhere All at Once;04/14/2022 ;79.0;Action, Adventure, Science Fiction; Released; English;AU
153;Glass Onion: A Knives Out Mystery;11/23/2022 ;71.0;Comedy, Crime, Mystery; Released; English;AU
154;Suro;12/02/2022;73.0;Thriller, Drama; Released; Catalan, Valencian;ES
155;The Lair;08/25/2022 ;59.0;Horror, Action; Released; English;GB
156;My Hero Academia: World Heroes' Mission;10/28/2021 ;76.0;Animation, Action, Adventure, Science Fiction; Released; Japanese;AU
157;Unhappily Ever After;01/26/2023 ;81.0;Comedy, Romance; Released; Spanish, Castilian;MX
158;Evil Eye;09/22/2022 ;68.0;Horror; Released; Spanish, Castilian;MX
159;Inspector Sun and the Curse of the Black Widow;12/28/2022 ;68.0;Animation, Family; Released; Spanish, Castilian;ES
160;The Price We Pay;01/13/2023 ;60.0;Action, Thriller, Mystery, Crime, Horror; Released; English;US
161;Lupin The 3rd vs. Cat’s Eye;01/27/2023 ;60.0;Animation, Action, Adventure, Comedy; Released; Japanese;AU
162;Murder Mystery;05/25/2019 ;63.0;Comedy, Mystery; Released; English;AU
163;Luz Mala;11/17/2022 ;43.0;Horror; Released; Spanish, Castilian;AR
164;Babylon;01/19/2023 ;75.0;Drama, Comedy; Released; English;AU
165;The Lost City;03/30/2022 ;66.0;Action, Adventure, Comedy; Released; English;AU
166;The Lost City;03/30/2022 ;66.0;Action, Adventure, Comedy; Released; English;AU
167;Detective Knight: Rogue;10/21/2022 ;67.0;Action, Crime, Thriller; Released; English;US
168;Cop Secret;10/20/2021 ;61.0;Comedy, Action, Thriller; Released; Icelandic;IS
169;The Quintessential Quintuplets Movie;12/01/2022;84.0;Animation, Comedy, Romance; Released; Japanese;AU
170;Harry Potter and the Chamber of Secrets;11/28/2002 ;77.0;Adventure, Fantasy; Released; English;AU
171;Kill Boksoon;03/31/2023 ;69.0;Action, Thriller, Crime; Released; Korean;KR
172;Candy Land;01/06/2023;65.0;Horror, Thriller; Released; English;US
173;Venom: Let There Be Carnage;11/25/2021 ;69.0;Science Fiction, Action, Adventure; Released; English;AU
174;Harry Potter and the Philosopher's Stone;11/29/2001 ;79.0;Adventure, Fantasy; Released; English;AU
175;On the Count of Three;09/29/2022 ;66.0;Comedy, Drama; Released; English;AU
176;Uncharted;02/17/2022 ;70.0;Action, Adventure; Released; English;AU
177;DC League of Super-Pets;09/03/2022;74.0;Animation, Action, Family, Comedy, Science Fiction; Released; English;AU
178;Moonfall;02/03/2022;64.0;Science Fiction; Released; English;AU
179;Athena;09/23/2022 ;67.0;Drama; Released; French;FR
180;Unicorn Wars;10/21/2022 ;64.0;Action, Animation, Comedy, Fantasy, Horror, War; Released; Spanish, Castilian;ES
181;Teen Wolf: The Movie;01/27/2023 ;78.0;Action, Fantasy, TV Movie; Released; English;AU
182;Fantastic Beasts: The Secrets of Dumbledore;04/07/2022;68.0;Fantasy, Adventure, Family; Released; English;AU
183;Cars 3;06/22/2017 ;69.0;Animation, Adventure, Comedy, Family; Released; English;AU
184;The Ledge;02/18/2022 ;66.0;Thriller, Adventure; Released; English;US
185;The Big 4;12/15/2022 ;71.0;Action, Comedy, Crime; Released; Indonesian;ID
186;Interstellar;11/06/2014;84.0;Adventure, Drama, Science Fiction; Released; English;AU
187;Viking Wolf;02/03/2023;59.0;Horror, Thriller, Mystery; Released; Norwegian;AU
188;20th Century Girl;10/06/2022;83.0;Romance, Drama; Released; Korean;KR
189;The Soccer Football Movie;11/09/2022;61.0;Animation, Comedy, Family; Released; English;US
190;Boston Strangler;03/17/2023 ;67.0;Thriller, Drama, Crime; Released; English;AU
191;Close;02/16/2023 ;78.0;Drama; Released; French;AU
192;Coraline;08/06/2009;78.0;Animation, Family, Fantasy; Released; English;AU
193;Luther: The Fallen Sun;03/23/2023 ;69.0;Thriller, Crime, Action, Mystery; Released; English;AU
194;Harry Potter and the Goblet of Fire;12/01/2005;78.0;Adventure, Fantasy, Family; Released; English;AU
195;Piggy;10/14/2022 ;66.0;Thriller, Drama, Horror; Released; Spanish, Castilian;ES
196;Orphan: First Kill;09/01/2022;68.0;Horror, Thriller; Released; English;AU
197;Fullmetal Alchemist: The Final Alchemy;06/24/2022 ;63.0;Action, Adventure, Fantasy; Released; Japanese;JP
198;Malcriados;02/15/2023 ;78.0;Comedy; Released; Spanish, Castilian;MX
199;Polar;10/26/2022 ;66.0;Action, Adventure, Thriller; Released; Spanish, Castilian;ES
200;Jesus;10/19/1979 ;83.0;Drama, History; Released; English;US
201;Harry Potter and the Half-Blood Prince;07/15/2009 ;77.0;Adventure, Fantasy; Released; English;AU
202;Legend of the Galactic Heroes: Die Neue These - Intrigue 1;09/30/2022 ;61.0;Animation; Released; Japanese;JP
203;Noise;03/17/2023 ;49.0;Drama, Thriller; Released; Dutch, Flemish;US
204;The Infernal Machine;09/23/2022 ;66.0;Thriller, Mystery; Released; English;US
205;Abandoned;06/17/2022 ;63.0;Horror, Mystery, Thriller; Released; English;US
206;The Ten Commandments: The Movie;01/28/2016 ;72.0;Drama; Released; Portuguese;BR
207;The Avengers;04/25/2012 ;77.0;Science Fiction, Action, Adventure; Released; English;AU
208;The Avengers;04/25/2012 ;77.0;Science Fiction, Action, Adventure; Released; English;AU
209;Still Time;10/22/2022 ;65.0;Romance, Comedy, Drama; Released; Italian;IT
210;Exodus: Gods and Kings;12/11/2014;58.0;Adventure, Drama, Action; Released; English;AU
211;Wolf Hound;09/01/2022;66.0;War, Action; Released; English;AU
212;The Little Mermaid;05/26/2023 ;0.0;Adventure, Family, Fantasy, Romance; Post Production; English;US
213;F9;06/17/2021 ;72.0;Action, Adventure, Crime, Thriller; Released; English;AU
214;The Wolf of Wall Street;01/22/2014 ;80.0;Crime, Drama, Comedy; Released; English;AU
215;Pinball: The Man Who Saved the Game;03/17/2023 ;78.0;Comedy, Drama, History, Romance; Released; English;US
216;Brothers;03/18/2010 ;73.0;Drama, Thriller, War; Released; English;AU
217;Brothers;03/18/2010 ;73.0;Drama, Thriller, War; Released; English;AU
218;Harry Potter and the Prisoner of Azkaban;06/03/2004;80.0;Adventure, Fantasy; Released; English;AU
219;Out of the Blue;10/20/2022 ;46.0;Thriller, Romance; Released; English;AU
220;RRR;03/25/2022 ;78.0;Action, Drama; Released; Telugu;AU
221;Broker;03/30/2023 ;72.0;Drama, Comedy; Released; Korean;AU
222;The Black Phone;06/30/2022 ;78.0;Horror, Thriller; Released; English;AU
223;Transformers: Rise of the Beasts;06/09/2023;0.0;Action, Adventure, Science Fiction; Post Production; English;US
224;Avengers: Endgame;04/24/2019 ;83.0;Adventure, Science Fiction, Action; Released; English;AU
225;Spider-Man: Across the Spider-Verse;06/02/2023;0.0;Animation, Action, Adventure, Science Fiction; Post Production; English;US
226;MexZombies;10/26/2022 ;71.0;Horror, Action, Comedy; Released; Spanish, Castilian;US
227;Harry Potter and the Order of the Phoenix;07/11/2007;77.0;Adventure, Fantasy, Mystery; Released; English;AU
228;The Northman;04/21/2022 ;71.0;Action, Adventure, Fantasy; Released; English;AU
229;I Believe;11/07/2017;70.0;Family, Drama; Released; English;US
230;Blue's Big City Adventure;11/18/2022 ;74.0;Family, Adventure, Music, Animation; Released; English;AU
231;After Ever Happy;09/08/2022;69.0;Romance, Drama; Released; English;AU
232;On the Line;11/17/2022 ;62.0;Thriller; Released; English;AU
233;Ben-Hur;05/12/1960;79.0;Action, Drama, History; Released; English;AU
234;Ben-Hur;05/12/1960;79.0;Action, Drama, History; Released; English;AU
235;The Next 365 Days;08/19/2022 ;65.0;Romance, Drama; Released; Polish;US
236;Hocus Pocus 2;09/30/2022 ;74.0;Fantasy, Comedy, Family; Released; English;AU
237;Morbius;03/31/2022 ;62.0;Action, Science Fiction, Fantasy; Released; English;AU
238;Cars 2;06/11/2011;61.0;Animation, Family, Adventure, Comedy; Released; English;AU
239;Tangled;01/06/2011;76.0;Animation, Family; Released; English;AU
240;The Minute You Wake Up Dead;02/01/2023;57.0;Thriller, Crime; Released; English;AU
241;Fifty Shades of Grey;02/12/2015;59.0;Drama, Romance, Thriller; Released; English;AU
242;Harry Potter and the Deathly Hallows: Part 2;07/13/2011 ;81.0;Fantasy, Adventure; Released; English;AU
243;The Ice Age Adventures of Buck Wild;03/25/2022 ;67.0;Animation, Comedy, Adventure, Family; Released; English;AU
244;Samaritan;08/25/2022 ;68.0;Action, Crime, Science Fiction; Released; English;US
245;Godzilla vs. Kong;03/24/2021 ;77.0;Action, Fantasy, Science Fiction; Released; English;AU
246;Paradise City;01/01/2023;58.0;Action, Crime, Thriller; Released; English;AU
247;Shang-Chi and the Legend of the Ten Rings;09/02/2021;76.0;Action, Adventure, Fantasy; Released; English;AU
248;Zack Snyder's Justice League;03/18/2021 ;82.0;Action, Adventure, Fantasy, Science Fiction; Released; English;AU
249;Lightyear;06/16/2022 ;71.0;Animation, Action, Adventure, Family, Science Fiction; Released; English;AU
250;Ritual;09/07/2022;71.0;Thriller; Released; Dutch, Flemish;BE
251;The Last Client;06/20/2022 ;76.0;Thriller, Crime; Released; Danish;DK
252;Suzume;04/13/2023 ;82.0;Animation, Drama, Adventure, Fantasy; Released; Japanese;AU
253;Pirates of the Caribbean: At World's End;05/24/2007 ;72.0;Adventure, Fantasy, Action; Released; English;AU
254;King Shakir Recycle;07/14/2022 ;57.0;Animation, Adventure, Family, Action, Comedy, Science Fiction; Released; Turkish;TR
255;The School for Good and Evil;10/19/2022 ;72.0;Fantasy; Released; English;AU
256;Monstrous;05/13/2022 ;60.0;Horror, Mystery, Thriller; Released; English;US
257;Shrek 2;06/17/2004 ;72.0;Animation, Family, Comedy, Fantasy, Adventure, Romance; Released; English;AU
258;The Unbearable Weight of Massive Talent;04/21/2022 ;68.0;Action, Comedy, Crime; Released; English;AU
259;Fifty Shades Freed;01/17/2018 ;67.0;Drama, Romance; Released; English;AU
260;El tirabeque;11/25/2022 ;30.0;Comedy; Released; Spanish, Castilian;ES
261;The Battle at Lake Changjin: Water Gate Bridge;02/11/2022;69.0;War, History, Action, Drama; Released; Chinese;AU
262;Spider-Man: Into the Spider-Verse;12/13/2018 ;84.0;Action, Adventure, Animation, Science Fiction; Released; English;AU
263;Harry Potter and the Deathly Hallows: Part 1;11/13/2010 ;78.0;Adventure, Fantasy; Released; English;AU
264;Emily the Criminal;06/08/2022;68.0;Crime, Drama, Thriller; Released; English;AU
265;Emergency Declaration;08/03/2022;77.0;Action, Drama, Mystery, Thriller; Released; Korean;KR
266;Blood;01/27/2023 ;58.0;Thriller, Horror; Released; English;US
267;Memory;07/05/2022;70.0;Action, Thriller, Crime; Released; English;AU
268;Orgasm Lecture 2;02/20/2020 ;100.0;Drama; Released; Korean;KR
269;Whisper;01/23/2022 ;64.0;Horror, Thriller; Released; English;GB
270;The Shack;04/27/2017 ;75.0;Drama, Fantasy; Released; English;AU
271;Eternals;11/04/2021;70.0;Science Fiction, Action, Adventure; Released; English;AU
272;Doraemon: Nobita's Little Star Wars 2021;03/04/2022;57.0;Animation, Science Fiction, Adventure; Released; Japanese;JP
273;Dog;03/17/2022 ;74.0;Drama, Comedy; Released; English;AU
274;The Invitation;08/25/2022 ;64.0;Horror, Thriller; Released; English;AU
275;The Conjuring: The Devil Made Me Do It;06/03/2021;75.0;Horror, Mystery, Thriller; Released; English;AU
